id,sprite,name,types
1,https://img.pokemondb.net/sprites/sword-shield/icon/bulbasaur.png,Bulbasaur,"[""Grass"",""Poison""]"
2,https://img.pokemondb.net/sprites/sword-shield/icon/ivysaur.png,Ivysaur,"[""Grass"",""Poison""]"
3,https://img.pokemondb.net/sprites/sword-shield/icon/venusaur.png,Venusaur,"[""Grass"",""Poison""]"
3,https://img.pokemondb.net/sprites/sword-shield/icon/venusaur-mega.png,Venusaur Mega Venusaur,"[""Grass"",""Poison""]"
4,https://img.pokemondb.net/sprites/sword-shield/icon/charmander.png,Charmander,"[""Fire""]"
5,https://img.pokemondb.net/sprites/sword-shield/icon/charmeleon.png,Charmeleon,"[""Fire""]"
6,https://img.pokemondb.net/sprites/sword-shield/icon/charizard.png,Charizard,"[""Fire"",""Flying""]"
6,https://img.pokemondb.net/sprites/sword-shield/icon/charizard-mega-x.png,Charizard Mega Charizard X,"[""Fire"",""Dragon""]"
6,https://img.pokemondb.net/sprites/sword-shield/icon/charizard-mega-y.png,Charizard Mega Charizard Y,"[""Fire"",""Flying""]"
7,https://img.pokemondb.net/sprites/sword-shield/icon/squirtle.png,Squirtle,"[""Water""]"
8,https://img.pokemondb.net/sprites/sword-shield/icon/wartortle.png,Wartortle,"[""Water""]"
9,https://img.pokemondb.net/sprites/sword-shield/icon/blastoise.png,Blastoise,"[""Water""]"
9,https://img.pokemondb.net/sprites/sword-shield/icon/blastoise-mega.png,Blastoise Mega Blastoise,"[""Water""]"
10,https://img.pokemondb.net/sprites/sword-shield/icon/caterpie.png,Caterpie,"[""Bug""]"
11,https://img.pokemondb.net/sprites/sword-shield/icon/metapod.png,Metapod,"[""Bug""]"
12,https://img.pokemondb.net/sprites/sword-shield/icon/butterfree.png,Butterfree,"[""Bug"",""Flying""]"
13,https://img.pokemondb.net/sprites/sword-shield/icon/weedle.png,Weedle,"[""Bug"",""Poison""]"
14,https://img.pokemondb.net/sprites/sword-shield/icon/kakuna.png,Kakuna,"[""Bug"",""Poison""]"
15,https://img.pokemondb.net/sprites/sword-shield/icon/beedrill.png,Beedrill,"[""Bug"",""Poison""]"
15,https://img.pokemondb.net/sprites/sword-shield/icon/beedrill-mega.png,Beedrill Mega Beedrill,"[""Bug"",""Poison""]"
16,https://img.pokemondb.net/sprites/sword-shield/icon/pidgey.png,Pidgey,"[""Normal"",""Flying""]"
17,https://img.pokemondb.net/sprites/sword-shield/icon/pidgeotto.png,Pidgeotto,"[""Normal"",""Flying""]"
18,https://img.pokemondb.net/sprites/sword-shield/icon/pidgeot.png,Pidgeot,"[""Normal"",""Flying""]"
18,https://img.pokemondb.net/sprites/sword-shield/icon/pidgeot-mega.png,Pidgeot Mega Pidgeot,"[""Normal"",""Flying""]"
19,https://img.pokemondb.net/sprites/sword-shield/icon/rattata.png,Rattata,"[""Normal""]"
19,https://img.pokemondb.net/sprites/sword-shield/icon/rattata-alolan.png,Rattata Alolan Rattata,"[""Dark"",""Normal""]"
20,https://img.pokemondb.net/sprites/sword-shield/icon/raticate.png,Raticate,"[""Normal""]"
20,https://img.pokemondb.net/sprites/sword-shield/icon/raticate-alolan.png,Raticate Alolan Raticate,"[""Dark"",""Normal""]"
21,https://img.pokemondb.net/sprites/sword-shield/icon/spearow.png,Spearow,"[""Normal"",""Flying""]"
22,https://img.pokemondb.net/sprites/sword-shield/icon/fearow.png,Fearow,"[""Normal"",""Flying""]"
23,https://img.pokemondb.net/sprites/sword-shield/icon/ekans.png,Ekans,"[""Poison""]"
24,https://img.pokemondb.net/sprites/sword-shield/icon/arbok.png,Arbok,"[""Poison""]"
25,https://img.pokemondb.net/sprites/sword-shield/icon/pikachu.png,Pikachu,"[""Electric""]"
